age,workclass,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,target
32,4,15,1,6,5,4,1,0,0,40,1
5,4,15,0,13,1,4,1,0,0,40,1
96,4,11,6,12,4,4,1,9,0,40,0
85,4,15,0,1,1,4,0,0,0,40,1
26,4,15,4,4,1,4,1,0,0,45,1
25,6,1,4,10,2,4,0,0,0,40,1
29,4,12,0,7,1,4,0,0,0,60,1
96,7,13,2,10,0,4,1,0,0,40,1
23,4,8,2,1,0,4,1,0,0,40,1
74,4,10,4,10,1,4,1,0,0,30,1
76,4,11,2,7,0,4,1,0,0,40,1
28,4,11,0,12,1,2,1,0,0,89,1
33,4,3,4,14,1,4,1,0,0,50,1
23,4,15,4,1,3,4,1,0,0,40,1
42,2,1,4,10,2,4,1,0,0,35,0
17,4,6,2,8,0,4,0,0,0,20,1
24,4,15,2,3,0,4,1,0,0,40,1
61,4,15,2,5,0,4,0,0,0,94,1
41,7,10,0,13,2,4,1,0,0,40,0
36,4,11,2,6,5,4,1,0,0,40,0
57,7,14,2,1,0,4,1,0,0,35,0
26,4,9,4,4,1,4,1,0,36,40,1
51,4,1,1,10,0,1,0,0,0,40,0
80,7,9,5,11,1,4,0,76,0,45,1
34,5,15,2,6,0,4,1,0,0,40,0
50,4,11,2,3,0,4,1,27,92,40,0
19,6,15,2,4,0,4,0,43,0,98,1
72,4,11,4,8,3,2,0,0,0,40,1
42,4,7,2,3,0,4,1,0,92,40,0
37,4,11,2,3,5,4,1,0,0,35,1
44,4,1,0,12,1,4,0,0,0,40,1
28,2,3,4,11,4,4,1,0,0,40,0
30,2,12,2,11,0,4,1,0,0,40,1
36,4,14,2,8,0,2,1,0,0,40,1
39,2,15,2,10,0,4,0,0,0,40,1
19,4,11,4,1,1,4,0,0,0,20,1
21,5,11,4,10,3,4,1,0,0,36,1
82,4,9,4,8,3,4,1,0,0,40,1
30,4,11,2,10,0,4,0,0,0,36,1
18,0,11,2,0,0,4,1,0,0,58,1
38,5,9,2,6,0,4,1,0,92,40,0
87,4,11,2,12,0,4,1,0,0,40,1
46,4,11,4,5,1,4,1,8,0,40,0
17,0,15,2,0,0,4,1,0,0,20,1
23,4,14,4,12,1,4,1,0,0,50,1
29,4,12,4,8,3,4,1,0,0,40,1
89,4,15,4,4,1,4,0,0,0,40,1
34,4,15,2,12,0,4,0,0,0,50,0
42,2,11,5,11,3,4,1,0,0,60,0
43,4,11,2,5,5,2,1,0,0,7,0
36,6,9,0,12,4,2,0,0,0,40,1
25,4,9,4,10,1,4,0,0,0,40,1
21,4,11,4,4,4,0,1,0,0,60,1
30,4,12,2,10,0,4,1,59,0,40,1
47,2,15,4,9,1,4,1,0,0,45,1
97,2,15,0,1,1,4,0,46,0,30,1
30,4,12,2,6,5,4,1,0,0,50,0
26,4,9,4,14,1,4,1,0,14,79,0
89,4,15,0,6,4,4,0,0,0,40,1
22,4,15,4,7,3,4,0,0,0,20,0
24,6,11,2,12,0,4,1,0,0,50,1
32,4,9,2,6,0,4,0,0,0,50,0
78,7,14,2,10,5,4,0,0,0,50,1
43,4,15,5,10,3,2,0,0,0,8,1
20,0,15,4,0,3,4,0,0,0,17,0
0,4,13,2,13,0,4,0,0,0,40,1
1,2,6,2,11,0,4,0,0,0,58,1
13,4,15,6,8,1,4,1,0,0,60,1
42,4,11,2,10,0,4,1,0,0,40,1
1,3,15,6,4,1,4,1,0,0,20,1
30,4,8,2,12,0,2,1,86,0,81,1
27,0,9,4,0,3,2,0,0,0,85,1
29,0,9,4,0,1,4,1,0,0,30,1
48,4,15,2,3,0,4,0,0,0,40,0
42,4,11,4,3,3,4,1,0,0,16,0
42,4,7,6,5,1,4,1,0,0,35,0
51,4,10,1,10,4,3,1,0,0,40,0
30,4,9,2,10,5,4,1,0,0,40,0
46,4,7,2,6,0,4,1,0,0,40,0
72,4,1,2,12,0,4,1,0,0,45,1
4,4,11,2,8,0,4,1,0,0,50,1
26,4,15,4,14,3,2,1,0,0,40,1
26,4,15,4,14,3,4,1,0,0,25,1
22,4,15,4,7,0,4,1,0,0,20,1
88,4,11,6,12,1,4,1,67,0,2,1
15,0,2,0,0,1,4,1,0,0,50,1
41,4,11,2,8,0,4,1,0,0,40,0
21,2,11,5,1,1,4,0,0,0,22,1
27,4,0,1,7,1,4,0,0,0,35,1
40,5,11,2,4,0,4,1,0,0,40,1
44,4,1,2,8,0,4,1,0,0,40,0
24,4,11,2,1,0,2,1,0,0,40,1
48,4,14,2,1,0,2,1,35,0,40,0
69,0,15,2,0,0,2,1,0,0,40,1
24,4,15,4,3,3,4,0,0,0,81,1
44,4,10,2,8,5,4,1,0,0,36,1
27,4,9,4,7,3,4,1,0,0,40,1
85,4,11,2,3,0,4,1,0,0,40,0
2,4,1,0,3,1,4,1,0,0,11,1
37,4,10,2,4,0,4,1,0,0,72,1
66,4,11,6,1,1,4,0,0,0,40,1
10,2,4,2,1,0,4,1,0,0,20,1
42,4,15,4,10,2,4,1,0,0,42,0
7,6,15,2,10,0,4,1,0,0,40,0
66,4,6,0,8,1,4,1,0,0,40,1
45,8,1,0,4,1,4,1,0,0,20,1
14,4,11,5,4,1,4,1,0,0,40,1
23,2,8,2,10,0,4,1,0,0,50,1
88,4,6,0,1,4,4,1,0,0,47,1
51,4,1,2,3,0,4,0,80,0,40,1
38,4,7,2,14,5,4,1,0,0,66,1
20,4,15,2,14,5,4,0,0,0,52,1
86,4,13,2,5,0,4,0,24,0,14,1
37,4,15,4,4,1,4,1,0,0,40,0
86,4,3,2,7,0,4,1,0,0,40,1
68,4,15,4,7,5,4,1,0,0,41,1
32,4,15,1,7,2,4,1,0,0,40,1
84,4,9,2,3,5,4,1,0,0,40,1
50,0,11,0,14,1,4,1,0,92,45,1
36,0,11,2,13,5,4,1,0,0,40,1
22,6,7,4,8,4,4,0,0,0,42,1
71,4,5,0,1,1,2,1,0,0,6,1
42,0,7,0,5,1,4,1,0,0,20,0
37,4,15,5,3,4,4,1,0,0,60,1
84,0,11,4,0,3,4,0,0,0,40,1
55,4,15,2,3,0,4,0,0,0,70,1
44,4,8,0,8,1,4,1,56,0,40,1
30,2,9,2,2,0,4,0,16,0,40,0
40,4,9,2,7,0,3,1,0,0,40,1
18,4,11,2,4,0,4,1,0,0,50,1
51,4,1,3,3,4,4,1,0,0,87,1
63,4,11,2,12,0,4,1,0,0,30,0
34,4,10,4,13,1,4,1,44,0,50,1
25,5,11,0,10,1,4,1,0,0,40,1
33,4,15,4,8,3,2,1,0,0,50,1
93,4,12,2,3,0,4,0,0,0,40,0
0,4,9,6,8,1,4,0,0,0,40,0
54,4,11,0,12,1,4,1,0,0,40,1
36,4,8,2,8,0,4,1,0,0,40,1
27,0,15,3,0,2,4,0,0,0,30,1
52,4,0,4,7,1,0,1,0,0,40,1
27,7,9,4,0,4,4,1,0,0,45,1
30,4,15,4,6,3,1,1,0,0,40,1
22,4,15,4,7,3,1,0,0,0,58,1
20,7,15,5,0,3,2,0,0,0,45,0
40,2,15,2,7,0,0,1,0,0,45,1
31,4,15,2,12,0,4,1,0,0,15,1
20,4,15,2,7,0,4,0,0,0,40,0
49,4,11,4,12,3,4,1,0,0,50,0
46,7,11,2,6,0,4,1,0,0,40,0
93,7,9,2,0,0,4,0,0,0,40,1
23,5,12,2,10,0,4,1,0,0,40,1
65,4,11,0,8,4,4,0,0,0,50,1
19,4,1,0,1,1,4,0,0,0,66,1
42,4,11,5,3,3,4,1,0,0,29,1
30,6,11,2,10,0,4,1,61,0,44,0
23,4,14,4,1,1,2,1,0,0,40,1
30,4,11,4,10,1,4,1,0,0,50,1
7,4,15,2,12,0,4,1,0,0,30,0
53,4,11,0,13,1,4,1,0,0,71,1
34,4,10,2,13,0,0,1,0,0,50,1
74,4,0,2,3,5,4,1,0,0,40,0
73,4,7,2,8,0,1,1,0,0,40,0
56,4,11,0,14,1,4,1,0,0,47,1
11,4,9,0,12,1,4,0,0,0,30,0
37,4,11,4,3,3,4,1,0,0,35,1
11,2,1,4,10,1,4,1,0,0,60,1
26,4,9,4,4,3,4,1,0,0,9,1
36,4,8,4,13,3,4,1,0,0,40,1
44,4,9,2,12,0,4,0,88,0,40,0
68,4,15,0,3,1,4,1,0,0,20,1
26,1,4,4,14,3,4,1,0,85,45,1
44,4,8,0,3,1,4,1,0,0,0,1
19,4,11,0,12,4,4,0,0,0,90,1
73,7,0,4,10,1,4,1,0,0,50,1
39,4,7,2,4,0,4,1,0,0,2,1
51,4,10,2,3,0,4,1,0,0,40,1
0,8,11,2,5,0,4,0,0,0,50,1
30,5,8,4,10,3,4,1,0,0,40,1
21,4,9,4,1,1,4,1,0,0,40,1
19,4,11,4,6,3,4,0,41,0,40,1
42,4,11,4,1,3,4,1,0,0,20,1
10,6,15,2,4,0,4,1,0,0,20,1
20,7,15,4,8,3,4,0,0,0,40,1
22,4,15,4,7,3,4,1,0,0,40,1
50,4,11,0,8,4,4,1,87,0,38,1
25,4,1,4,10,3,4,0,0,0,40,1
20,4,15,2,7,0,4,0,0,0,40,1
37,4,0,2,8,0,4,1,0,0,40,0
27,3,11,3,2,4,4,0,0,0,45,1
60,4,9,0,12,4,4,1,0,0,40,0
41,4,12,2,1,0,4,1,0,0,1,1
63,6,0,5,12,0,4,1,0,0,40,1
51,4,9,5,3,1,4,0,0,0,40,0
76,0,15,0,0,1,0,1,0,0,98,1
27,4,9,4,3,3,4,1,0,0,60,1
40,4,11,2,10,0,4,1,0,0,35,1
30,6,11,4,6,1,4,1,71,0,46,1
24,4,11,5,1,0,4,1,0,0,49,1
47,2,15,4,2,3,4,0,0,0,60,1
91,4,0,4,3,3,4,0,0,0,20,0
19,4,11,0,1,1,4,0,0,0,20,1
46,4,7,2,8,0,4,1,0,0,40,1
33,2,4,2,1,0,4,1,0,92,35,1
47,4,3,4,3,1,4,0,0,0,40,1
33,4,8,2,8,0,4,1,0,0,20,1
39,4,7,2,10,0,4,1,0,0,32,1
22,4,15,4,12,3,4,0,10,0,40,1
56,0,11,2,13,5,0,1,0,0,40,1
44,4,12,2,6,0,4,0,0,45,20,1
21,2,11,4,1,3,4,1,0,0,40,1
41,4,9,2,4,0,0,1,0,0,91,1
32,4,9,0,3,1,4,1,0,0,40,1
55,5,11,2,4,0,4,1,0,0,40,1
