age,workclass,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,target
55,0,9,6,0,1,4,1,0,0,45,1
37,4,9,0,12,4,4,1,0,0,40,1
61,4,15,2,12,1,4,1,0,0,40,1
22,4,11,2,12,0,4,1,0,81,22,1
40,4,11,2,6,0,4,1,0,39,60,0
29,4,12,0,4,1,4,1,0,0,12,1
46,6,15,0,12,1,4,0,0,0,65,1
40,4,11,4,8,1,4,1,0,0,35,1
52,4,8,2,13,0,4,1,0,0,40,0
50,4,9,4,12,1,4,1,0,0,60,1
25,4,11,4,7,4,4,0,0,0,40,1
47,4,11,2,3,0,4,1,0,0,45,1
33,4,11,2,3,0,4,1,0,0,40,1
23,6,8,4,14,1,4,0,0,0,40,1
55,4,9,0,12,4,4,0,0,0,42,1
51,4,9,0,6,1,4,0,0,0,40,1
35,6,15,5,8,4,4,0,0,0,40,1
21,4,11,4,1,3,4,0,0,0,40,1
27,4,8,2,13,0,4,1,0,0,45,0
37,6,6,6,14,4,4,0,0,0,36,1
56,4,9,2,4,0,4,1,0,0,40,1
27,6,13,0,10,4,4,0,0,0,40,1
43,4,15,2,12,0,4,1,0,0,40,1
38,4,9,2,12,0,4,1,0,0,35,1
31,4,15,4,8,1,4,1,0,0,40,1
39,4,6,2,3,5,4,0,0,0,50,1
44,4,7,2,12,0,4,1,57,0,65,1
24,6,11,4,12,3,4,1,0,0,40,1
58,2,15,5,14,3,4,0,72,0,40,1
33,4,15,2,4,0,4,1,0,0,40,1
40,4,9,2,4,0,4,1,0,0,50,0
50,4,12,2,3,0,4,1,0,49,23,0
22,4,11,4,1,1,4,0,0,0,40,1
49,4,11,2,3,0,4,1,74,0,40,1
55,6,15,2,12,0,4,1,0,0,20,0
62,0,15,2,0,0,2,1,0,0,55,0
35,4,11,4,4,1,4,0,0,0,60,1
34,4,11,2,3,0,4,1,0,0,40,0
20,0,12,4,0,3,4,0,0,0,20,1
47,4,11,2,3,0,4,1,0,0,40,1
20,4,15,4,14,1,4,1,0,0,38,1
45,1,12,2,10,0,4,1,0,0,40,1
28,4,6,4,12,1,4,1,0,0,40,1
57,4,15,2,9,0,4,1,27,0,6,0
37,4,9,2,4,0,4,1,0,0,58,1
47,4,14,0,10,3,4,0,0,0,20,1
25,6,11,4,14,2,4,1,0,0,12,1
66,4,11,2,1,5,4,0,0,0,40,0
54,1,15,2,10,0,4,1,0,0,99,1
57,4,9,2,4,0,4,1,0,0,55,0
52,4,9,3,10,1,4,0,0,0,35,1
64,4,11,6,1,1,2,1,0,0,25,0
52,4,15,2,1,0,4,1,29,0,36,0
30,6,9,2,4,5,4,0,0,0,41,1
40,7,9,2,10,0,4,1,0,0,60,1
